time_jst,class,coin,apy,fr,interval_h,exchange,cross_apy_spread,vol_usd,notified
2026-06-11 23:11,A,ESPORTS,788.2,0.003599,4.0,MEXC,,8084872,1
2026-06-11 23:11,A,BEAT,265.4,0.001212,4.0,MEXC,,1484735603,1
2026-06-11 23:11,A,SKYAI,214.8,0.000981,4.0,Gate,,14891911,1
2026-06-11 23:11,A,CLO,149.2,0.001363,8.0,Gate,,2006034,1
2026-06-11 23:11,A,LITE,135.7,0.001239,8.0,OKX,,69959841,1
2026-06-11 23:11,A,RAVE,126.6,0.000578,4.0,OKX,,6613822,0
2026-06-11 23:11,A,SKHYNIX,117.4,0.001072,8.0,OKX,,14449001,0
2026-06-11 23:11,A,FOLKS,93.0,0.000849,8.0,Gate,,15053668,0
2026-06-11 23:11,A,COLLECT,90.2,0.000412,4.0,MEXC,,2355906,0
2026-06-11 23:11,A,AIO,86.1,0.000393,4.0,Gate,,42702697,0
2026-06-11 23:11,A,RIVER,85.4,0.000390,4.0,MEXC,,7089931,0
2026-06-11 23:11,B,ID,-4380.0,-0.020000,4.0,Gate,,10725006,1
2026-06-11 23:11,B,HOME,-2483.5,-0.002835,1.0,Bitget,,27864747,1
2026-06-11 23:11,B,ASTR,-1568.9,-0.014328,8.0,MEXC,,3906625,1
2026-06-11 23:11,B,FIDA,-1358.9,-0.006205,4.0,MEXC,,4376890,1
2026-06-11 23:11,B,STG,-845.7,-0.007723,8.0,MEXC,,35269586,1
2026-06-11 23:11,B,ESPORTS,-491.7,-0.002245,4.0,Bitget,,8084872,0
2026-06-11 23:11,B,SAHARA,-385.8,-0.003523,8.0,Gate,,23286382,0
2026-06-11 23:11,B,PLAY,-312.7,-0.000357,1.0,Gate,,13749007,0
2026-06-11 23:11,C,HOME,-2150.4,-0.002455,1.0,OKX,333.0,27864747,1
2026-06-11 23:11,C,PLAY,10.5,0.000012,1.0,MEXC,323.2,13749007,1
2026-06-11 23:11,C,SAHARA,-204.2,-0.000932,4.0,OKX,181.6,23286382,1
