timestamp_et,epoch,ticker,open,high,low,close,volume
2024-07-16 09:30:00,1721136600,KO,63.43000030517578,64.30999755859375,63.38999938964844,64.2699966430664,9025100
2024-07-17 09:30:00,1721223000,KO,64.47000122070312,65.38999938964844,64.41000366210938,65.20999908447266,12508200
2024-07-18 09:30:00,1721309400,KO,64.80000305175781,65.80999755859375,64.72000122070312,65.19000244140625,11128200
2024-07-19 09:30:00,1721395800,KO,65.63999938964844,65.63999938964844,64.81999969482422,65.29000091552734,13775700
2024-07-22 09:30:00,1721655000,KO,65.25,65.29000091552734,64.31999969482422,64.7699966430664,11794200
2024-07-23 09:30:00,1721741400,KO,65.43000030517578,66.04000091552734,64.8499984741211,64.95999908447266,11810300
2024-07-24 09:30:00,1721827800,KO,65.08999633789062,65.97000122070312,64.83000183105469,65.80999755859375,13244600
2024-07-25 09:30:00,1721914200,KO,66.04000091552734,66.88999938964844,65.86000061035156,66.06999969482422,16328600
2024-07-26 09:30:00,1722000600,KO,66.06999969482422,67.11000061035156,66.01000213623047,67.05000305175781,13530100
2024-07-29 09:30:00,1722259800,KO,66.87999725341797,67.02999877929688,66.38999938964844,66.83000183105469,12140200
2024-07-30 09:30:00,1722346200,KO,66.4800033569336,67.83000183105469,66.36000061035156,67.68000030517578,13258000
2024-07-31 09:30:00,1722432600,KO,67.5,67.61000061035156,66.61000061035156,66.73999786376953,15576800
2024-08-01 09:30:00,1722519000,KO,67.0,68.11000061035156,66.69999694824219,67.95999908447266,16495900
2024-08-02 09:30:00,1722605400,KO,68.52999877929688,69.66999816894531,67.69000244140625,69.33000183105469,22514800
2024-08-05 09:30:00,1722864600,KO,68.98999786376953,69.55000305175781,67.7300033569336,68.0999984741211,25484300
2024-08-06 09:30:00,1722951000,KO,68.1500015258789,68.83999633789062,67.7699966430664,68.05000305175781,12969100
2024-08-07 09:30:00,1723037400,KO,68.05000305175781,69.18000030517578,67.83000183105469,68.45999908447266,13365300
2024-08-08 09:30:00,1723123800,KO,68.0,68.86000061035156,67.8499984741211,68.7300033569336,15240900
2024-08-09 09:30:00,1723210200,KO,68.69999694824219,68.79000091552734,68.25,68.68000030517578,12080400
2024-08-12 09:30:00,1723469400,KO,68.44999694824219,68.54000091552734,67.83000183105469,68.16999816894531,11012300
2024-08-13 09:30:00,1723555800,KO,68.08000183105469,68.61000061035156,68.01000213623047,68.45999908447266,9877600
2024-08-14 09:30:00,1723642200,KO,68.2300033569336,68.88999938964844,68.12999725341797,68.58000183105469,14328000
2024-08-15 09:30:00,1723728600,KO,68.62000274658203,68.91999816894531,68.5,68.6500015258789,11285100
2024-08-16 09:30:00,1723815000,KO,68.83999633789062,69.30000305175781,68.63999938964844,69.18000030517578,12651200
